90	-8.7	-0.2	-0.8	-1.0	-9.7
95	-9	-0.4	-0.9	-1.1	-9.6
100	-8.6	-0.3	-0.5	-1.2	-9.6
105	-8.5	-0.3	-0.8	-1.6	-9.5
110	-8.2	-0.2	-0.7	-1.2	-9.5
115	-8.1	-0.2	-0.8	-1.2	-9.4
120	-7.9	-0.4	-0.7	-1.2	-9.4
125	-7.8	-0.3	-0.8	-1.6	-9.3
130	-7.7	-0.2	-0.8	-1.4	-9.3
135	-7.6	-0.1	-0.4	-1.4	-9.2
140	-7.4	-0.2	-0.5	-1.6	-9.2
145	-7.4	0.0	-0.8	-1.8	-9.1
150	-7.2	-0.1	-0.8	-1.6	-9.1
155	-7.3	0.0	-0.8	-1.6	-9.1
160	-7.2	-0.2	-0.7	-1.7	-9.1
165	-6.9	-0.1	-0.7	-1.7	-9.1
170	-7	-0.2	-0.7	-1.9	-9.0
175	-6.8	-0.1	-1.1	-1.9	-9.0
180	-6.7	-0.3	-0.6	-1.9	-9.0
185	-7	-0.1	-0.9	-2.0	-9.0
190	-7	-0.2	-0.7	-2.1	-9.0
195	-7.1	-0.4	-0.6	-1.9	-9.0
200	-7.2	-0.2	-1.0	-1.9	-9.1
210	-7.2	-0.3	-0.7	-2.0	-9.2
220	-7.3	-0.4	-0.9	-1.9	-9.3
230	-7.3	-0.4	-0.7	-1.9	-9.4
240	-7.2	-0.5	-0.7	-1.8	-9.5
250	-7.4	-0.6	-0.7	-1.6	-9.7
260	-7.6	-0.4	-0.7	-1.7	-9.9
270	-7.5	-0.6	-0.9	-1.7	-10.1
280	-7.9	-0.7	-1.0	-1.3	-10.4
290	-7.7	-0.7	-0.8	-1.3	-10.6
300	-7.7	-0.8	-0.9	-1.2	-10.9
320	-7.7	-0.7	0.0	0.0	0.0
340	-7.1	-0.9	0.0	0.0	0.0
360	-6.1	-1.1	0.0	0.0	0.0
380	-7	-1.1	0.0	0.0	0.0
400	-7.9	-1.2	0.0	0.0	0.0
450	-8.6	-1.3	0.0	0.0	0.0
500	-8.5	-1.6	0.0	0.0	0.0
550	-8.4	-1.7	0.0	0.0	0.0
600	-8.2	-2.0	0.0	0.0	0.0
650	-8	-2.2	0.0	0.0	0.0
700	-8	-2.4	0.0	0.0	0.0
750	-8.1	-2.6	0.0	0.0	0.0
800	-8.3	-2.8	0.0	0.0	0.0
850	-8.2	-3.0	0.0	0.0	0.0
900	-8.2	-3.2	0.0	0.0	0.0
950	-8.3	-3.3	0.0	0.0	0.0
1000	-8.6	-3.5	0.0	0.0	0.0
